Job Title,Company,Experience,Location,Salary,Link,Skills
Associate Engineer - Compliance Engineering,Burndy Technology and Global Business Services Pri vate Limited,"<span class=""ellipsis fleft fs12 lh16"" title=""1-4 Yrs "">1-4 Yrs</span>","Kochi/Cochin, Ernakulam",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-associate-engineer-compliance-engineering-burndy-technology-and-global-business-services-pri-vate-limited-kochi-cochin-ernakulam-1-to-4-years-050522003240"")","Data Visualization, Environmental Engineering, Dashboard Development"
Oracle Database Developer,PRACTICESUITE INDIA PRIVATE LIMITED,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""3-8 Yrs "">3-8 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-oracle-database-developer-practicesuite-india-private-limited-kochi-cochin-3-to-8-years-240822010146"")","Oracle Database, Database Development, SQL Server Development, Oracle SQL, SQL Development, Database Design, Triggers, Oracle 10G"
Project Manager,TechNeurons,"<span class=""ellipsis fleft fs12 lh16"" title=""8-10 Yrs "">8-10 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-project-manager-techneurons-consulting-solutions-private-limited-ernakulam-kochi-cochin-8-to-10-years-250221500566"")","IT Skills, MS SQL, .Net, Computer science, Project development, Data analysis, Interpersonal skills, Development Lead"
SALES AND MARKETING MANAGER,Cordiace Technologies,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Kochi, Kakinada",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sales-and-marketing-manager-cordiace-technologies-ernakulam-kochi-cochin-kakinada-2-to-7-years-220119500247"")","IT services, Staffing, Service industry, Strategic planning, Account management, Web designing, SEO, RFP"
Service coordinator,Indo Gulf American Technology (IGA TECH),"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-service-coordinator-iga-tech-industrial-electronics-private-limited-ernakulam-kochi-cochin-2-to-5-years-191218501609"")","Help Desk, Customer Service, data analysis, customer relationship, access controls, Telephony support, Vendor Management, Information"
Full Stack Developer,AIRLINEPROS INTERNATIONAL SERVICE CENTER COCHINLLP,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-full-stack-developer-airlinepros-international-service-center-cochinllp-kochi-cochin-2-to-5-years-120822003157"")","Node.Js, front end, CSS, UX, User Experience, HTML, bootstrap, online travel"
PPC CAMPAIGN MANAGER,Oceanair,"<span class=""ellipsis fleft fs12 lh16"" title=""1-3 Yrs "">1-3 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-ppc-campaign-manager-oceanair-travels-ernakulam-kochi-cochin-1-to-3-years-100419500934"")","AdWords, Data analysis, PPC, Google Analytics, Packaging, Google AdWords, Webtrends, Budgeting"
Python Developer,Datahut,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-datahut-kochi-cochin-2-to-5-years-040722500823"")","Flask, API infrastructure development, communication, data analysis, front - end frameworks, Django, Python, AngularVue JS"
BI Lead Developer,Pearlsoft Technology,"<span class=""ellipsis fleft fs12 lh16"" title=""4-9 Yrs "">4-9 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-bi-lead-developer-pearlsoft-technology-kochi-cochin-4-to-9-years-240622500680"")","IT Skills, Azure, SQL queries, MS SQL, Data analysis, SSRS, SQL Server integration services, SQL Server development"
Talend Developer,Abzer,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-talend-developer-abzer-technology-solutions-kochi-cochin-3-to-8-years-100322500147"")","Open Studio, Data analysis, Big Data, RDBMS, Talend, ETL, databases, PL / SQL"
BI Lead Developer,Pearl Global Solutions,"<span class=""ellipsis fleft fs12 lh16"" title=""4-9 Yrs "">4-9 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-bi-lead-developer-pearl-global-solutions-kochi-cochin-4-to-9-years-081121501067"")","Microsoft Azure Stack, SQL Server, SSIS, sql, Rest APIs, SSRS, PowerBI, Microsoft SQL Server"
Full Stack Developer,Infosil Technolabs,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-full-stack-developer-infosil-technolabs-kochi-cochin-2-to-5-years-080622500724"")","MySQL, Python, React, communication, Node js, MongoDB, Angular, Apache"
Assistant Manager_ Customer Relations ( Female only),Skyfoam Mattresses LLP,"<span class=""ellipsis fleft fs12 lh16"" title=""3-7 Yrs "">3-7 Yrs</span>",Kochi/Cochin,"2,50,000 - 3,50,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-assistant-manager-customer-relations-female-only-skyfoam-mattresses-llp-kochi-cochin-3-to-7-years-050822002623"")","Business Development, Customer Relationship, Sales, Data Analysis, Salesforce CRM"
Corporate Marketing Specialist,AHRI,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-corporate-marketing-specialist-ahri-kochi-cochin-4-to-8-years-050822001513"")","marketing, sales, Brand Strategy"
Project Manager,Telenova Networks Pvt. Ltd.,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Ernakulam,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-project-manager-telenova-networks-pvt-ltd-ernakulam-2-to-5-years-220422501150"")","formulae, Tableau, advanced excel, Power BI, pivot table, Lookups, customer data analysis, Data studio"
Executive Assistant To Managing Director - FMCG - IIM/ FMS/ MDI/ XLRI,Orbit Global,"<span class=""ellipsis fleft fs12 lh16"" title=""1-4 Yrs "">1-4 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-executive-assistant-to-managing-director-fmcg-iim-fms-mdi-xlri-orbit-global-kochi-cochin-1-to-4-years-050822905049"")","Data analysis, Executive Assistant, Communication Skills, Performance analysis"
